时间(S),优化前p.u.,优化后p.u.
0,0.95173,0.95173
0.50017,0.95173,0.95173
1.00033,0.95173,0.95173
1.5005,0.95173,0.95173
2.00067,0.95173,0.95173
2.50083,0.95173,0.95173
3.001,0.95173,0.95173
3.50117,0.95173,0.95172
4.00133,0.95173,0.95173
4.5015,0.95173,0.95173
5.00167,0.95173,0.95172
5.50183,0.95173,0.95173
6.002,0.95173,0.95173
6.50217,0.95173,0.95172
7.00233,0.95173,0.95173
7.5025,0.95173,0.95173
8.00267,0.95173,0.95172
8.50283,0.95173,0.95173
9.003,0.95173,0.95173
9.50317,0.95173,0.95172
10.00333,0.95173,0.95173
10.5035,0.95173,0.95173
11.00367,0.95173,0.95172
11.50383,0.95173,0.95173
12.004,0.95173,0.95173
12.50417,0.95173,0.95172
13.00433,0.95173,0.95173
13.5045,0.95173,0.95173
14.00467,0.95173,0.95172
14.50483,0.95173,0.95173
15.005,0.95173,0.95173
15.50517,0.95173,0.95172
16.00534,0.95173,0.95173
16.5055,0.95173,0.95173
17.00567,0.95173,0.95172
17.50584,0.95173,0.95173
18.006,0.95173,0.95173
18.50617,0.95173,0.95172
19.00634,0.95173,0.95173
19.5065,0.95173,0.95173
20.00667,0.95173,0.95172
20.50684,0.95173,0.95173
21.007,0.95173,0.95173
21.50717,0.95173,0.95172
22.00734,0.95173,0.95173
22.5075,0.95173,0.95173
23.00767,0.95173,0.95172
23.50784,0.95173,0.95173
24.008,0.95173,0.95173
24.50817,0.95173,0.95172
25.00834,0.95173,0.95173
25.5085,0.95173,0.95173
26.00867,0.95173,0.95172
26.50884,0.95167,0.95167
27.009,0.95164,0.95176
27.50917,0.95157,0.9517
28.00934,0.9515,0.95171
28.5095,0.95144,0.95172
29.00967,0.95141,0.95172
29.50984,0.95137,0.95172
30.01,0.95133,0.95172
30.51017,0.9513,0.95172
31.01034,0.95126,0.95172
31.5105,0.95121,0.95172
32.01067,0.95116,0.95171
32.51084,0.95111,0.95172
33.011,0.95106,0.95172
33.51117,0.951,0.95172
34.01134,0.95095,0.95172
34.5115,0.9509,0.95173
35.01167,0.95084,0.95171
35.51184,0.95079,0.95172
36.012,0.95074,0.95172
36.51217,0.95069,0.95172
37.01234,0.95063,0.95172
37.5125,0.95059,0.95172
38.01267,0.95053,0.95172
38.51284,0.95047,0.95172
39.013,0.95042,0.95172
39.51317,0.95037,0.95172
40.01334,0.95031,0.95173
40.5135,0.95026,0.95172
41.01367,0.9502,0.95172
41.51384,0.95015,0.95172
42.014,0.9501,0.95172
42.51417,0.95004,0.95172
43.01434,0.94999,0.95172
43.5145,0.94993,0.95172
44.01467,0.94988,0.95172
44.51484,0.94983,0.95172
45.01501,0.94978,0.95172
45.51517,0.94972,0.95172
46.01534,0.94968,0.95173
46.51551,0.94962,0.95172
47.01567,0.94957,0.95172
47.51584,0.94952,0.95172
48.01601,0.94947,0.95173
48.51617,0.94942,0.95172
49.01634,0.94938,0.95172
49.51651,0.94933,0.95173
50.01667,0.94929,0.95172
50.51684,0.94924,0.95172
51.01701,0.9492,0.95172
51.51717,0.94916,0.95173
52.01734,0.94912,0.95173
52.51751,0.94908,0.95172
53.01767,0.94904,0.95173
53.51784,0.949,0.95173
54.01801,0.94897,0.95173
54.51817,0.94894,0.95172
55.01834,0.94891,0.95173
55.51851,0.94888,0.95173
56.01867,0.94885,0.95172
56.51884,0.94882,0.95173
57.01901,0.9488,0.95173
57.51917,0.94878,0.95173
58.01934,0.94876,0.95173
58.51951,0.94874,0.95173
59.01967,0.94873,0.95173
59.51984,0.94872,0.95173
60.02001,0.94871,0.95173
60.52017,0.9487,0.95173
61.02034,0.9487,0.95173
61.52051,0.94869,0.95173
62.02067,0.94869,0.95173
62.52084,0.94869,0.95173
63.02101,0.9487,0.95173
63.52117,0.9487,0.95173
64.02134,0.94871,0.95173
64.52151,0.94872,0.95173
65.02167,0.94874,0.95173
65.52184,0.94875,0.95173
66.02201,0.94877,0.95173
66.52217,0.94879,0.95173
67.02234,0.94881,0.95173
67.52251,0.94884,0.95173
68.02267,0.94886,0.95174
68.52284,0.94889,0.95174
69.02301,0.94891,0.95174
69.52317,0.94895,0.95173
70.02334,0.94898,0.95173
70.52351,0.94901,0.95174
71.02367,0.94906,0.95174
71.52384,0.94909,0.95174
72.02401,0.94913,0.95174
72.52417,0.94917,0.95173
73.02434,0.94921,0.95174
73.52451,0.94925,0.95174
74.02467,0.9493,0.95173
74.52484,0.94934,0.95174
75.02501,0.94939,0.95174
75.52518,0.94944,0.95174
76.02534,0.94948,0.95174
76.52551,0.94953,0.95174
77.02568,0.94958,0.95174
77.52584,0.94963,0.95174
78.02601,0.94968,0.95174
78.52618,0.94973,0.95174
79.02634,0.94979,0.95174
79.52651,0.94984,0.95174
80.02668,0.94989,0.95174
80.52684,0.94995,0.95174
81.02701,0.95,0.95174
81.52718,0.95005,0.95174
82.02734,0.95011,0.95174
82.52751,0.95016,0.95173
83.02768,0.95021,0.95174
83.52784,0.95027,0.95174
84.02801,0.95032,0.95174
84.52818,0.95037,0.95174
85.02834,0.95043,0.95174
85.52851,0.95048,0.95174
86.02868,0.95053,0.95174
86.52884,0.95059,0.95174
87.02901,0.95064,0.95174
87.52918,0.9507,0.95173
88.02934,0.95075,0.95174
88.52951,0.9508,0.95174
89.02968,0.95085,0.95173
89.52984,0.9509,0.95174
90.03001,0.95096,0.95174
90.53018,0.951,0.95173
91.03034,0.95106,0.95174
91.53051,0.9511,0.95174
92.03068,0.95116,0.95173
92.53084,0.9512,0.95174
93.03101,0.95125,0.95174
93.53118,0.9513,0.95173
94.03134,0.95134,0.95174
94.53151,0.95139,0.95174
95.03168,0.95144,0.95173
95.53184,0.95149,0.95174
96.03201,0.95153,0.95174
96.53218,0.95157,0.95173
97.03234,0.95162,0.95173
97.53251,0.95166,0.95174
98.03268,0.9517,0.95173
98.53284,0.95175,0.95173
99.03301,0.95173,0.95169
99.53318,0.95175,0.95177
100.03334,0.95172,0.95172
100.53351,0.9517,0.95173
101.03368,0.95169,0.95172
101.53384,0.95169,0.95173
102.03401,0.9517,0.95173
102.53418,0.95172,0.95172
103.03434,0.95173,0.95173
103.53451,0.95173,0.95173
104.03468,0.95174,0.95172
104.53484,0.95174,0.95173
105.03501,0.95173,0.95173
105.53518,0.95173,0.95172
106.03535,0.95173,0.95173
106.53551,0.95172,0.95173
107.03568,0.95172,0.95172
107.53585,0.95172,0.95173
108.03601,0.95172,0.95173
